STAT_CODE,measured runoff,runoff climatology,model output,output 1 lead time,output 2 lead time,output 3 lead time,output 4 lead time,output 5 lead time
ADO_DSC_AT12_0280,1.0,0.3727861433810936,0.8073405588387077,0.7727328486247185,0.668442129433594,0.5220564051744442,0.42824608506001327,0.38305099322132474
ADO_DSC_CH04_0011,1.0,0.09904183957656387,0.7656529925153666,0.6799321080150289,0.4822444595201164,0.1564661265475885,0.010811966520277161,-0.07127173106069784
ADO_DSC_AT31_0254,1.0,0.38019707288936944,0.7827359683262674,0.7384964521804191,0.6249951612168161,0.4595112250716562,0.3804321624574565,0.34281930744047584
ADO_DSC_CH03_0075,1.0,0.3164513611673718,0.839832307708969,0.8188078647533825,0.724801413723057,0.5604570544883793,0.42512845033499636,0.3298286267424029
ADO_DSC_AT31_0206,1.0,0.4098833474699757,0.8160824859849266,0.7460908478010881,0.6007871965903786,0.42421683866611826,0.348484588689874,0.30950975419448234
ADO_DSC_FRK2_0042,1.0,0.2896067566100866,0.9280449967442121,0.9072571861026234,0.7990580914333282,0.5965942537330218,0.4273546458009094,0.29090382235324574
ADO_DSC_ITC1_0020,1.0,0.3876257398000075,0.7152857602578899,0.6844186200537714,0.5767656246706918,0.4333995165146295,0.37232549865468645,0.34796424080304245
ADO_DSC_ITC1_0037,1.0,0.2525414485570413,0.7707825917371626,0.7169277052939809,0.5590732093756814,0.3398915345327118,0.23610552301422427,0.17925679219419954
ADO_DSC_CH05_0201,1.0,0.1404750491662512,0.7360350779203567,0.6588602984712528,0.4967828009750336,0.23924609398164065,0.1381780991276239,0.08744343932919896
ADO_DSC_CH07_0006,1.0,0.49219730159849073,0.8068848293191847,0.7734123677616185,0.6621386215329312,0.47748988207072895,0.30854933432801646,0.24030194736853427
ADO_DSC_CH07_0100,1.0,0.2591661901396335,0.7798811009404948,0.6545662987798642,0.4552837902114739,0.23806305976390174,0.21226673671860707,0.18173011043006482
ADO_DSC_CH07_0147,1.0,0.47012168883659633,0.7774499963019831,0.7143246008213497,0.607439666655009,0.4781450639852922,0.4311746123137138,0.40373394004096386
ADO_DSC_FRK2_0041,1.0,0.332869939394567,0.8364043908367036,0.7826818047579409,0.652503402729515,0.45240809172187235,0.3356167275011879,0.266596685816868
ADO_DSC_SI03_0033,1.0,0.2293320304432246,0.6917637842821547,0.6647996381710048,0.5710388145295997,0.4274646822810303,0.3548263201866314,0.3263758079415522
ADO_DSC_ITH2_0035,1.0,0.4948622321877425,0.7553024373148836,0.7487845801774589,0.703410352973613,0.6352022092239684,0.596152864632501,0.5679523448665849
ADO_DSC_SI03_0148,1.0,0.17012125008959467,0.529797383452377,0.3923132650283244,0.14505885068738766,-0.21482926412569614,-0.4403768636305143,-0.6133501943086719
ADO_DSC_ITC1_0072,1.0,0.441721528389448,0.7295868399455676,0.7140501230997661,0.6308186880940738,0.4882354136544126,0.42518105847982357,0.3915253138716861
ADO_DSC_ITH1_0012,1.0,0.6320774915979642,0.8648131204184737,0.8248308276394776,0.7156250797066979,0.6083066508572027,0.5911924761267155,0.6073489659930356
ADO_DSC_ITH5_0006,1.0,0.24361999352041563,0.8702827079347872,0.8529335648343823,0.7375765855509477,0.5380591894213826,0.3221773706566874,0.17828538112370873
